place,total_mentions
Arthur's Seat,78
Bruntsfield,108
Calton Hill,48
Canongate,240
Castle Street,98
Cramond,42
Cumberland Bar,192
Dalkeith,52
Drummond Place,212
Dundas Street,260
Forth,194
Gorgie,24
Grassmarket,36
Haddington,30
Hanover Street,22
Heriot Row,26
Hermiston,54
High Street,76
Holyrood,128
Holyrood Park,32
Howe Street,96
India Street,152
Lasswade,40
Leith,968
Leith Walk,56
Liberton,34
Linlithgow,54
Lochend,32
Lothian Road,22
Montgomery Street,30
Moray Place,266
Morningside,98
Musselburgh,22
New Town,172
Niddrie,40
Ocean Drive,22
Old Town,46
Pilrig,56
Prestonpans,44
Princes Street,238
Queen Street,170
Royal Society of Edinburgh,18
Scotland Street,554
Scottish Parliament,68
Silvermills,34
Southside,62
St Giles,18
Stockbridge,100
Swanston,32
Swanston Cottage,24
The Meadows,100
Tollcross,60
University of Edinburgh,28
Waverley Station,32
West End,36
West Port,52
Wester Hailes,44
